smile_count,e_act,bothe,Talk_count
0,0,0,1
0,0,0,2
0,0,0,3
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,1,0,4
0,1,0,4
0,1,0,4
0,1,0,4
0,1,0,4
0,1,0,4
0,1,0,4
0,1,0,4
0,1,0,4
0,1,0,4
0,2,0,4
0,2,0,5
0,3,0,5
0,3,0,5
0,3,0,5
0,3,0,5
0,3,0,5
0,3,0,5
0,3,0,5
0,3,0,5
0,3,0,5
0,3,1,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,5
0,3,2,6
0,3,2,6
0,3,2,6
0,3,2,6
0,3,2,6
0,3,2,6
0,3,2,6
0,3,2,6
0,4,2,6
0,5,2,6
0,6,2,6
0,7,2,6
0,7,2,7
0,7,3,7
0,7,3,8
0,7,3,9
0,7,3,9
0,7,3,9
0,7,3,10
0,7,3,10
0,7,3,10
0,7,3,10
0,7,4,10
0,7,4,11
0,7,4,11
0,7,4,11
0,7,4,12
0,7,4,13
0,8,4,13
0,8,4,14
0,8,4,14
0,8,4,14
0,8,4,14
0,8,4,14
0,8,4,14
0,8,5,14
0,8,5,15
0,8,5,15
0,8,5,15
0,8,5,15
0,8,5,15
0,8,5,15
0,8,5,15
0,8,5,15
0,8,5,15
0,8,5,16
0,8,5,16
0,8,5,16
0,8,5,16
0,8,5,16
0,8,5,16
0,8,5,16
0,8,5,16
0,8,5,16
0,8,5,17
0,8,5,17
0,8,5,17
0,8,5,17
0,8,5,17
0,8,5,17
0,8,6,17
0,8,6,17
0,8,6,17
0,8,6,17
0,8,6,18
0,8,6,18
0,8,6,19
0,8,6,19
0,8,6,19
0,8,6,19
0,8,6,20
0,8,6,20
0,8,6,20
0,8,6,20
0,8,7,20
0,8,7,20
0,8,7,20
0,8,7,20
0,8,7,20
0,8,7,20
0,8,7,20
0,8,7,20
0,8,7,21
0,8,7,21
0,8,7,21
0,8,7,21
0,8,7,22
0,8,7,22
